"sector";"year";"average_annual_earnings"
Professional, scientific and technical activities;2008;47994
Professional, scientific and technical activities;2009;48276
Professional, scientific and technical activities;2010;47892
Professional, scientific and technical activities;2011;45229
Professional, scientific and technical activities;2012;47870
Professional, scientific and technical activities;2013;48321
Professional, scientific and technical activities;2014;46551
Professional, scientific and technical activities;2015;47184
Professional, scientific and technical activities;2016;48430
Professional, scientific and technical activities;2017;49613
Professional, scientific and technical activities;2018;49867